title,apr
12/13/2023,16.7186
12/14/2023,16.7224
12/15/2023,16.7775
12/16/2023,16.7888
12/17/2023,16.7936
12/18/2023,16.7998
12/19/2023,16.804
12/20/2023,16.8136
12/21/2023,16.8177
12/22/2023,16.8088
12/23/2023,16.8182
12/24/2023,16.8216
12/25/2023,16.8253
12/26/2023,16.8296
12/27/2023,16.8302
12/28/2023,16.8368
12/29/2023,16.9282
12/30/2023,16.9286
12/31/2023,16.9339
1/1/2024,16.9317
1/2/2024,17.1133
1/3/2024,17.1222
1/4/2024,17.1257
1/5/2024,17.1211
1/6/2024,17.1174
1/7/2024,17.1156
1/8/2024,17.1021
1/9/2024,16.845
1/10/2024,16.7726
1/11/2024,16.7934
1/12/2024,16.7714
1/13/2024,16.7822
1/14/2024,13.3574
1/15/2024,13.3754
1/16/2024,13.3785
1/17/2024,13.3838
1/18/2024,13.39
1/19/2024,13.361
1/20/2024,13.358
1/21/2024,13.3608
1/22/2024,13.4107
1/23/2024,13.4152
1/24/2024,13.4302
1/25/2024,13.4336
1/26/2024,13.3961
1/27/2024,13.3769
1/28/2024,13.3798
1/29/2024,13.4999
1/30/2024,13.4945
1/31/2024,13.4575
2/1/2024,13.4928
2/2/2024,13.4696
2/3/2024,13.4744
2/4/2024,13.5114
2/5/2024,13.5138
2/6/2024,13.4964
2/7/2024,13.4965
2/8/2024,13.5054
2/9/2024,13.4777
2/10/2024,13.4794
2/11/2024,13.4843
2/12/2024,13.4882
2/13/2024,13.4897
2/14/2024,13.493
2/15/2024,13.5002
2/16/2024,13.4729
2/17/2024,13.4732
2/18/2024,13.4791
2/19/2024,13.4787
2/20/2024,13.4751
2/21/2024,13.5184
2/22/2024,13.5228
2/23/2024,13.5644
2/24/2024,13.57
2/25/2024,13.5744
2/26/2024,13.5832
2/27/2024,13.5979
2/28/2024,13.6534
2/29/2024,13.667
3/1/2024,13.5892
3/2/2024,13.6007
3/3/2024,13.6114
3/4/2024,13.6188
3/5/2024,13.6639
3/6/2024,12.6912
3/7/2024,13.6843
3/8/2024,13.6896
3/9/2024,13.6965
3/10/2024,13.7084
3/11/2024,13.7208
3/12/2024,13.7292
3/13/2024,13.7322
3/14/2024,13.7432
3/15/2024,13.8122
3/16/2024,13.8209
3/17/2024,13.8246
3/18/2024,12.7738
3/19/2024,12.7738
3/20/2024,13.7511
3/21/2024,12.8055
3/22/2024,12.7629
3/23/2024,13.8061
3/24/2024,13.8168
3/25/2024,12.774
3/26/2024,13.8275
3/27/2024,13.8359
3/28/2024,13.8408
3/29/2024,12.7891
3/30/2024,13.8611
3/31/2024,13.8642
4/1/2024,13.8925
4/2/2024,13.9004
4/3/2024,13.9249
4/4/2024,13.9305
4/5/2024,13.9873
4/6/2024,13.9963
4/7/2024,13.9954
4/8/2024,14.0009
4/9/2024,14.0064
4/10/2024,14.0105
4/11/2024,14.0184
4/12/2024,12.927
4/13/2024,14.0512
4/14/2024,14.0553
4/15/2024,14.0593
4/16/2024,12.9269
4/17/2024,14.0657
4/18/2024,14.0707
4/19/2024,14.0754
4/20/2024,14.0798
4/21/2024,14.0903
4/22/2024,14.095
4/23/2024,14.0607
4/24/2024,14.0664
4/25/2024,14.0732
4/26/2024,14.1205
4/27/2024,14.1586
4/28/2024,14.1684
4/29/2024,14.1831
4/30/2024,14.1852
5/1/2024,14.1483
5/2/2024,14.2293
5/3/2024,14.2289
5/4/2024,14.2354
5/5/2024,14.1794
5/6/2024,14.1657
5/7/2024,14.1736
5/8/2024,14.1893
5/9/2024,14.1947
5/10/2024,14.1982
5/11/2024,14.202
5/12/2024,14.2031
5/13/2024,14.2166
5/14/2024,14.2723
5/15/2024,14.2769
5/16/2024,14.2821
5/17/2024,14.2867
5/18/2024,14.3038
5/19/2024,14.3105
5/20/2024,14.3134
5/21/2024,14.3223
5/22/2024,14.3256
5/23/2024,14.3306
5/24/2024,14.3356
5/25/2024,14.3398
5/26/2024,14.3438
5/27/2024,14.3509
5/28/2024,14.3559
5/29/2024,14.2876
5/30/2024,14.2941
5/31/2024,14.4828
6/1/2024,14.4869
6/2/2024,14.4901
6/3/2024,14.5071
6/4/2024,14.5113
6/5/2024,14.5907
6/6/2024,14.6145
6/7/2024,14.6093
6/8/2024,14.6109
6/9/2024,14.5402
6/10/2024,14.5527
6/11/2024,14.5574
6/12/2024,14.7267
6/13/2024,14.7605
6/14/2024,14.6295
6/15/2024,14.6333
6/16/2024,14.6608
6/17/2024,14.6793
6/18/2024,14.6859
6/19/2024,14.7768
6/20/2024,14.8325
6/21/2024,14.909
6/22/2024,14.9136
6/23/2024,14.9273
6/24/2024,14.9269
6/25/2024,14.9309
6/26/2024,14.8191
6/27/2024,14.8235
6/28/2024,14.829
6/29/2024,14.834
6/30/2024,14.844
7/1/2024,14.8852
7/2/2024,14.8898
7/3/2024,14.8944
7/4/2024,14.9044
7/5/2024,14.8997
7/6/2024,14.9017
7/7/2024,14.9059
7/8/2024,14.9379
7/9/2024,14.9424
7/10/2024,14.9436
7/11/2024,14.9397
7/12/2024,14.945
7/13/2024,14.9485
7/14/2024,14.9522
7/15/2024,14.9572
7/16/2024,14.9758
7/17/2024,14.9785
7/18/2024,14.9912
7/19/2024,14.9926
7/20/2024,14.9942
7/21/2024,15.0055
7/22/2024,15.0036
7/23/2024,15.1822
7/24/2024,15.1874
7/25/2024,15.1927
7/26/2024,15.1978
7/27/2024,15.2275
7/28/2024,15.2586
7/29/2024,15.5743
7/30/2024,15.2726
7/31/2024,15.2799
8/1/2024,15.3794
8/2/2024,15.3081
8/3/2024,15.3154
8/4/2024,15.3184
8/5/2024,15.3204
8/6/2024,19.901
8/7/2024,19.9069
8/8/2024,19.9127
8/9/2024,20.7605
8/10/2024,20.7576
8/11/2024,20.2066
8/12/2024,20.174
8/13/2024,20.1738
8/14/2024,20.1859
8/15/2024,20.2278
8/16/2024,20.2361
8/17/2024,20.2397
8/18/2024,20.1876
8/19/2024,20.1907
8/20/2024,20.2354
8/21/2024,20.2297
8/22/2024,20.2372
8/23/2024,20.2093
8/24/2024,20.1893
8/25/2024,20.2654
8/26/2024,20.2657
8/27/2024,20.2713
8/28/2024,20.276
8/29/2024,20.2705
8/30/2024,17.4659
8/31/2024,17.9037
9/1/2024,17.8324
9/2/2024,17.5648
9/3/2024,17.3414
9/4/2024,17.3837
9/5/2024,17.3831
